Gender,Department,Leader Type,Total victims,Position
M,Putumayo,Communal leader,1,President of the communal action board of the Remolinos village
M,Putumayo,Communal leader,1,"President of the Community Action Board of Barrio Los Alpes, community manager"
M,Putumayo,Communal leader,1,"President of the Communal Action Board of the municipality of Puerto Leguízamo, Putumayo"
M,Putumayo,Community leader,1,Rector of the Bajo Lorenzó Educational Institution
M,Putumayo,Peasant or agrarian leader,2,
M,Putumayo,Communal leader,4,
M,Quindio,Communal leader,1,Candidate for the Local Action Board of the commune 10
M,Quindio,Indigenous leader,1,"Belonging to the Embera people in Quindío, environmentalist, governor of the Dachi Agore Drua indigenous reservation and member of the Board of Directors of the Autonomous Corporation of Quindío"
M,Quindio,Community leader,1,Pre-candidate for mayor of Qumbaya
M,Risaralda,Community leader,1,"Galician social leader, and owner of the Fundación Amor y Fé that provided services to low-income children."
M,Risaralda,Communal leader,3,
M,Santander,Peasant or agrarian leader,2,
M,Santander,Community leader,1,
M,Sucre,Community leader,1,Leader recognized by the neediest people in his community
M,Sucre,Communal leader,1,Member of the Macayepos Community Action Board.
M,Sucre,Communal leader,1,"President of the Guayabal Community Action Board, in the municipality of Coveñas."
M,Sucre,Communal leader,1,President of the Community Action Board of the Guayabal neighborhood Stage I.
M,Sucre,Peasant or agrarian leader,4,
M,Sucre,Community leader,1,
M,Sucre,Indigenous leader,1,
M,Tolima,Indigenous leader,1,Indigenous Authority
M,Tolima,Community leader,1,Land restitution leader
M,Tolima,Peasant or agrarian leader,1,"Recognized leader for being one of the promoters of the Ruta del Cóndor, an environmental and ecotourism project that aims to promote the sighting of this endangered species and, also, seeks to raise awareness about natural resources, water and promote , through community tourism, the customs of the coffee people"
M,Tolima,Indigenous leader,1,
M,Valle del Cauca,Communal leader,1,Leader
M,Valle del Cauca,Community leader,1,teacher
M,Valle del Cauca,Indigenous leader,1,Former indigenous governor and Embera leader
M,Valle del Cauca,Community leader,1,Community leader of the Isla de la Paz neighborhood
M,Valle del Cauca,Communal leader,1,Community leader and pre-candidate for the municipal council for the Radical Change party
M,Valle del Cauca,Community leader,1,Leader fighting against illegal mining in Cali
M,Valle del Cauca,Community leader,1,"Leader and activist, collaborator with the Municipal Council."
M,Valle del Cauca,Líder afrodescendiente,1,CONAFRO member
M,Valle del Cauca,Indigenous leader,1,Member of the ASOMIC Mixed Indigenous and Peasant Association
M,Valle del Cauca,Communal leader,1,Member of the Community Housing Board
M,Valle del Cauca,Community leader,1,Member of the Municipal Table of Victims and worked with people in situations of disability due to the armed conflict.
M,Valle del Cauca,Youth leader,1,Member of the Youth of the Liberal Party and official of the Mayor of Guachené
M,Valle del Cauca,Communal leader,1,"President of the Las Pilas Community Action Board in Jamundí, Valle"
M,Valle del Cauca,Communal leader,1,President of the Community Action Board in the municipality of Caicedonia
M,Valle del Cauca,Union leader,1,President Sintrainagro Guacarí
M,Valle del Cauca,Líder afrodescendiente,3,
M,Valle del Cauca,Peasant or agrarian leader,2,
M,Valle del Cauca,Communal leader,1,
M,Valle del Cauca,Community leader,10,
M,Valle del Cauca,Indigenous leader,2,
M,Valle del Cauca,Union leader,2,
M,Vichada,Indigenous leader,1,
T,La Guajira,LGTBI leader,1,Leader of the LGBTI community in La Guajira
T,Norte de Santander,LGTBI leader,1,Member of the Trans Girls Association of Norte de Santander
T,Tolima,LGTBI leader,1,Member of the NGO Chaparral Diversa
,Tolima,Peasant or agrarian leader,1,Beneficiary of the Land Restitution Unit of the National Government
